sim_results,sim_results_anti,total_overpacked_time,total_ride_time
0.0,0.0,0,389724
0.0,0.0,0,383684
0.0,0.0,0,384718
0.009062480056161849,0.00407955124936257,12571,389943
0.0,0.0,0,368792
0.004774169231735662,0.012367380249858749,12267,393069
0.0,0.0,0,387056
0.0,0.0,0,376737
0.0,0.0,0,369928
0.0,0.0,0,375226
0.0,0.0,0,376461
0.008783260139498837,0.015512895094046927,12439,384744
0.0,0.007675087943716022,12559,387870
0.0,0.0,0,370196
0.0,0.0,0,370536
0.0,0.0,0,381814
0.0,0.0,0,364833
0.0,0.0,0,374890
0.0,0.0,0,381704
0.0,0.0,0,376485
0.0,0.0,1599,384154
0.0,0.0,0,378307
0.0,0.0,0,386888
0.0,0.0,0,371185
0.0,0.0,0,380861
0.0,0.0,0,379422
0.0,0.0,0,372241
0.0,0.0,0,379872
0.0,0.0,0,379959
0.0,0.0,0,373874
0.0,0.0,0,383141
0.005460664169153597,0.009570287742426162,12752,393369
0.0,0.0,0,378314
0.0,0.0,0,382463
0.0,0.0,1897,382150
0.0,0.0,0,376210
0.0,0.0,0,379799
0.0,0.0,0,386936
0.0,0.0,0,380367
0.0,0.0,0,369583
0.0,0.0,0,382819
0.0,0.0,0,371792
0.0,0.0,0,376095
0.0,0.0,0,387408
0.004593685300207039,0.007889801461553386,12488,384134
0.0,0.0,0,374548
0.013753075515740332,0.006436955698599016,12166,396145
0.0,0.0,0,375249
0.0,0.0,0,379994
0.0,0.0,0,375091
0.0,0.0,0,370414
0.0,0.0,0,375983
0.015069476156305042,0.013737873559476529,12736,380501
0.0,0.0,0,375278
0.0,0.0,0,378683
0.0,0.0,0,376127
0.0,0.0,0,390074
0.0,0.0,0,374822
0.0,0.0,0,377093
0.0,0.0,0,390496
0.0,0.0,0,363831
0.0,0.0,0,391759
0.0,0.0,0,376734
0.0,0.0,0,374300
0.0,0.0,0,376282
0.0,0.0,0,375119
0.0,0.0,0,374990
0.0,0.0,0,381695
0.0,0.0,0,381403
0.00026148918088514085,0.0,711,392314
0.0,0.0,0,379502
0.0,0.0,0,382188
0.0,0.0,0,381360
0.0,0.0,0,372171
0.0,0.0,0,361255
0.0,0.0,0,375060
0.0,0.0,0,369502
0.0,0.0,0,389340
0.0,0.0,0,378247
0.0,0.0,0,373836
0.0,0.0,0,384258
0.0,0.0,0,381017
0.0,0.0,0,374428
0.0,0.0,0,393960
0.0,0.0,0,380047
0.01092512139023767,0.017969049750607494,13033,388657
0.0,0.0,0,376616
0.0,0.0,0,364432
0.0,0.0,0,373396
0.0,0.0,0,368267
0.005978122615110659,0.004833683139349997,12243,393517
0.0,0.0,0,380191
0.0,0.0,0,369832
0.0,0.0,0,381658
0.0,0.0,0,396505
0.0,0.0,0,380637
0.0,0.0,0,379488
0.0,0.0,0,387886
0.0,0.0,0,377757
0.0,0.0,0,381807
